"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
1488,NA,NA,"Clostridium acetobutylicum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Clostridium",1485,"genus"
220685,NA,NA,"Bacillus bataviensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Neobacillus",2675232,"genus"
5855,NA,NA,"Plasmodium vivax","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Plasmodium",5820,"genus"
1990,NA,NA,"Actinomadura atramentaria","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Actinomadura",1988,"genus"
2001,NA,NA,"Streptosporangium roseum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptosporangium",2000,"genus"
29362,NA,NA,"Clostridium papyrosolvens","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Ruminiclostridium",1508657,"genus"
76853,NA,NA,"Solibacillus silvestris","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Solibacillus",648800,"genus"
404386,NA,NA,"FALSEnomuraea coxensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Nonomuraea",83681,"genus"
1413,NA,NA,"Bacillus cellulosilyticus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Evansella",2837485,"genus"
1449,NA,NA,"Amphibacillus xylanus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Amphibacillus",29331,"genus"
272240,NA,NA,"Pseudoclavibacter faecalis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Gulosibacter",256818,"genus"
1450,NA,NA,"Alicyclobacillus acidoterrestris","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Alicyclobacillus",29330,"genus"
405212,NA,NA,"Alicyclobacillus acidocaldarius","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Alicyclobacillus",29330,"genus"
1510,NA,NA,"Clostridium stercorarium","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Thermoclostridium",2304691,"genus"
2020,NA,NA,"Thermomonospora curvata","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Thermomonospora",2019,"genus"
28034,NA,NA,"Sulfobacillus thermosulfidooxidans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sulfobacillus",28033,"genus"
53633,NA,NA,"Sulfobacillus acidophilus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sulfobacillus",28033,"genus"
467094,NA,NA,"Ilumatobacter coccoidneus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Ilumatobacter",682522,"genus"
1390,NA,NA,"Bacillus amyloliquefaciens","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Bacillus",1386,"genus"
272131,NA,NA,"FALSEstoc punctiforme","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Nostoc",1177,"genus"
6035,NA,NA,"Encephalitozoon cuniculi","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Encephalitozoon",6033,"genus"
29494,NA,NA,"Vibrio furnissii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Vibrio",662,"genus"
315405,NA,NA,"Streptococcus gallolyticus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptococcus",1301,"genus"
35701,NA,NA,"Heliobacterium modesticaldum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Heliomicrobium",2831443,"genus"
67581,NA,NA,"Streptomyces viridosporus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
1391,NA,NA,"Aneurinibacillus aneurinilyticus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Aneurinibacillus",55079,"genus"
47758,NA,NA,"Streptomyces sulphureus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
54571,NA,NA,"Streptomyces venezuelae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptomyces",1883,"genus"
