"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Unit","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
334543,"Unknown","Unknown","Psychrobacter arcticus","growth temperature",-10,"The Microbe Directory","exp","unknown","low","Celcius","species","Psychrobacter",497,"genus"
246794,"Unknown","Unknown","Moritella 5710","growth temperature",-5,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Moritella",58050,"genus"
251,"Unknown","Unknown","Psychroflexus gondwanensis","growth temperature",-5,"The Microbe Directory","exp","unknown","low","Celcius","species","Psychroflexus",83612,"genus"
57029,"Unknown","Unknown","Psychroflexus torquis","growth temperature",-5,"The Microbe Directory","exp","unknown","low","Celcius","species","Psychroflexus",83612,"genus"
1049,"Unknown","Unknown","Allochromatium vinosum D","growth temperature",0,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Allochromatium",85072,"genus"
61595,"Unknown","Unknown","Allochromatium warmingii 6512","growth temperature",0,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Allochromatium",85072,"genus"
37487,"Unknown","Unknown","Chromatium purpuratum 5500","growth temperature",0,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Marichromatium",85076,"genus"
421629,"Unknown","Unknown","Ectothiorhodospira abdelmalekii 9840","growth temperature",0,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Halorhodospira",85108,"genus"
1052,"Unknown","Unknown","Ectothiorhodospira halochloris 9850","growth temperature",0,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Halorhodospira",85108,"genus"
1053,"Unknown","Unknown","Ectothiorhodospira halophila 9628","growth temperature",0,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Halorhodospira",85108,"genus"
1053,"Unknown","Unknown","Ectothiorhodospira halophila 9630","growth temperature",0,"Microbial Fatty Acid Compositions","exp","unknown","medium","Celcius","species","Halorhodospira",85108,"genus"
