"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Unit","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
44675,NA,NA,"Geothrix","width","0.1","Bergey's Manual","exp","always","high","µm","genus","Holophagaceae",574976,"family"
171,NA,NA,"Leptospira","width","0.1","Bergey's Manual","exp","always","high","µm","genus","Leptospiraceae",170,"family"
40222,NA,NA,"Methylophaga","width","0.2","Bergey's Manual","exp","always","high","µm","genus","Piscirickettsiaceae",135616,"family"
123375,NA,NA,"Solobacterium","width","0.2","Bergey's Manual","exp","always","high","µm","genus","Erysipelotrichaceae",128827,"family"
146937,NA,NA,"Dechlorosoma","width","0.3","Bergey's Manual","exp","always","high","µm","genus","Rhodocyclaceae",75787,"family"
43673,NA,NA,"Jonesia","width","0.3","Bergey's Manual","exp","always","high","µm","genus","Jonesiaceae",85022,"family"
28261,NA,NA,"Thermodesulfovibrio","width","0.3","Bergey's Manual","exp","always","high","µm","genus","Thermodesulfovibrionaceae",2811504,"family"
338321,NA,NA,"Turneriella","width","0.3","Bergey's Manual","exp","always","high","µm","genus","Leptospiraceae",170,"family"
190972,NA,NA,"Sedimentibacter","width","0.35","Bergey's Manual","exp","always","high","µm","genus","Tissierellia",1737404,"class"
119977,NA,NA,"Acidithiobacillus","width","0.4","Bergey's Manual","exp","always","high","µm","genus","Acidithiobacillaceae",225058,"family"
28048,NA,NA,"Acidothermus","width","0.4","Bergey's Manual","exp","always","high","µm","genus","Acidothermaceae",85032,"family"
84162,NA,NA,"Cryptobacterium","width","0.4","Bergey's Manual","exp","always","high","µm","genus","Eggerthellaceae",1643826,"family"
57039,NA,NA,"Malonomonas","width","0.4","Bergey's Manual","exp","always","high","µm","genus","Desulfuromonadaceae",213421,"family"
2270,NA,NA,"Thermoproteus","width","0.4","Bergey's Manual","exp","always","high","µm","genus","Thermoproteaceae",2267,"family"
84593,NA,NA,"Verrucosispora","width","0.4","Bergey's Manual","exp","always","high","µm","genus","Micromonosporaceae",28056,"family"
558421,NA,NA,"Acetothermus","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Bacteroidaceae",815,"family"
39845,NA,NA,"Actinokineospora","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Pseudonocardiaceae",2070,"family"
40566,NA,NA,"Actinosynnema","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Pseudonocardiaceae",2070,"family"
274470,NA,NA,"Alkalibacter","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Eubacteriaceae",186806,"family"
82373,NA,NA,"Anaerovibrio","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Selenomonadaceae",1843491,"family"
92793,NA,NA,"Aquabacterium","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Burkholderiales",80840,"order"
118747,NA,NA,"Bulleidia","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Erysipelotrichaceae",128827,"family"
68335,NA,NA,"Coprothermobacter","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Coprothermobacteraceae",2138247,"family"
442430,NA,NA,"Coraliomargarita","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Puniceicoccaceae",415002,"family"
130795,NA,NA,"Crossiella","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Pseudonocardiaceae",2070,"family"
34067,NA,NA,"Cycloclasticus","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Piscirickettsiaceae",135616,"family"
73029,NA,NA,"Dechloromonas","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Azonexaceae",2008795,"family"
53244,NA,NA,"Desulfonatronovibrio","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Desulfohalobiaceae",213117,"family"
308865,NA,NA,"Elizabethkingia","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Weeksellaceae",2762318,"family"
59734,NA,NA,"Empedobacter","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Weeksellaceae",2762318,"family"
1647,NA,NA,"Erysipelothrix","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Erysipelotrichaceae",128827,"family"
290180,NA,NA,"Fabibacter","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Roseivirgaceae",2762306,"family"
236752,NA,NA,"Fastidiosipila","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Oscillospiraceae",216572,"family"
2701,NA,NA,"Gardnerella","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Bifidobacteriaceae",31953,"family"
189326,NA,NA,"Gelria","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Thermoanaerobacteraceae",186814,"family"
46200,NA,NA,"Geovibrio","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Deferribacteraceae",191394,"family"
334857,NA,NA,"Goodfellowiella","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Pseudonocardiaceae",2070,"family"
53357,NA,NA,"Humihabitans","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Intrasporangiaceae",85021,"family"
166974,NA,NA,"Lechevalieria","width","0.5","Bergey's Manual","exp","always","high","µm",NA,NA,NA,NA
75984,NA,NA,"Mannheimia","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Pasteurellaceae",712,"family"
2319,NA,NA,"Methanopyrus","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Methanopyraceae",183713,"family"
76831,NA,NA,"Myroides","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Flavobacteriaceae",49546,"family"
162491,NA,NA,"Oerskovia","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Cellulomonadaceae",85016,"family"
455433,NA,NA,"Pelagicoccus","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Puniceicoccaceae",415002,"family"
33024,NA,NA,"Phascolarctobacterium","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Acidaminococcaceae",909930,"family"
348581,NA,NA,"Propionicicella","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Nocardioidaceae",85015,"family"
29548,NA,NA,"Rhodothermus","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Rhodothermaceae",563843,"family"
841,NA,NA,"Roseburia","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Lachnospiraceae",186803,"family"
690565,NA,NA,"Serinibacter","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Beutenbergiaceae",125316,"family"
182623,NA,NA,"Smithella","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Syntrophaceae",213468,"family"
283810,NA,NA,"Stackebrandtia","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Glycomycetaceae",85034,"family"
40323,NA,NA,"Stenotrophomonas","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Xanthomonadaceae",32033,"family"
119979,NA,NA,"Thermithiobacillus","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Thermithiobacillaceae",225059,"family"
62608,NA,NA,"Thermocladium","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Thermoproteaceae",2267,"family"
227388,NA,NA,"Thermodesulfobium","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Thermodesulfobiaceae",227387,"family"
99593,NA,NA,"Thermohalobacter","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Thermohalobacteraceae",2848916,"family"
57739,NA,NA,"Vogesella","width","0.5","Bergey's Manual","exp","always","high","µm","genus","Chromobacteriaceae",1499392,"family"
239934,NA,NA,"Akkermansia","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Akkermansiaceae",1647988,"family"
59735,NA,NA,"Bergeyella","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Weeksellaceae",2762318,"family"
28231,NA,NA,"Geobacter","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Geobacteraceae",213422,"family"
427753,NA,NA,"Humibacter","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Microbacteriaceae",85023,"family"
230355,NA,NA,"Methanolacinia","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Methanomicrobiaceae",2194,"family"
947525,NA,NA,"Miniimonas","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Beutenbergiaceae",125316,"family"
90243,NA,NA,"Oligella","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Alcaligenaceae",506,"family"
202949,NA,NA,"Thermanaeromonas","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Thermoanaerobacteraceae",186814,"family"
1013,NA,NA,"Weeksella","width","0.6","Bergey's Manual","exp","always","high","µm","genus","Weeksellaceae",2762318,"family"
32014,NA,NA,"Iodobacter","width","0.7","Bergey's Manual","exp","always","high","µm","genus","Chromobacteriaceae",1499392,"family"
29574,NA,NA,"Taylorella","width","0.7","Bergey's Manual","exp","always","high","µm","genus","Alcaligenaceae",506,"family"
28194,NA,NA,"Thermonema","width","0.7","Bergey's Manual","exp","always","high","µm","genus","Thermonemataceae",1853233,"family"
227864,NA,NA,"Cerasibacillus","width","0.8","Bergey's Manual","exp","always","high","µm","genus","Bacillaceae",186817,"family"
468938,NA,NA,"Cerasicoccus","width","0.8","Bergey's Manual","exp","always","high","µm","genus","Puniceicoccaceae",415002,"family"
32,NA,NA,"Myxococcus","width","0.8","Bergey's Manual","exp","always","high","µm","genus","Myxococcaceae",31,"family"
63743,NA,NA,"Natronomonas","width","0.8","Bergey's Manual","exp","always","high","µm","genus","Haloarculaceae",1963268,"family"
52972,NA,NA,"Polaromonas","width","0.8","Bergey's Manual","exp","always","high","µm","genus","Comamonadaceae",80864,"family"
85413,NA,NA,"Bosea","width","0.85","Bergey's Manual","exp","always","high","µm","genus","Boseaceae",2831100,"family"
613121,NA,NA,"Smaragdicoccus","width","0.86","Bergey's Manual","exp","always","high","µm","genus","Nocardiaceae",85025,"family"
58842,NA,NA,"Sagittula","width","0.9","Bergey's Manual","exp","always","high","µm","genus","Roseobacteraceae",2854170,"family"
1849,NA,NA,"Actinopolyspora","width","1","Bergey's Manual","exp","always","high","µm","genus","Actinopolysporaceae",622451,"family"
204472,NA,NA,"Ancalomicrobium","width","1","Bergey's Manual","exp","always","high","µm","genus","Ancalomicrobiaceae",2172021,"family"
34098,NA,NA,"Blattabacterium","width","1","Bergey's Manual","exp","always","high","µm","genus","Blattabacteriaceae",39782,"family"
169133,NA,NA,"Citricoccus","width","1","Bergey's Manual","exp","always","high","µm","genus","Micrococcaceae",1268,"family"
544,NA,NA,"Citrobacter","width","1","Bergey's Manual","exp","always","high","µm","genus","Enterobacteriaceae",543,"family"
290184,NA,NA,"Cryptanaerobacter","width","1","Bergey's Manual","exp","always","high","µm","genus","Desulfotomaculaceae",2937910,"family"
1634037,NA,NA,"Desulfoplanes","width","1","Bergey's Manual","exp","always","high","µm","genus","Desulfomicrobiaceae",213116,"family"
635,NA,NA,"Edwardsiella","width","1","Bergey's Manual","exp","always","high","µm","genus","Hafniaceae",1903412,"family"
76008,NA,NA,"Fusibacter","width","1","Bergey's Manual","exp","always","high","µm","genus","Eubacteriales Family XII. Incertae Sedis",543313,"family"
724,NA,NA,"Haemophilus","width","1","Bergey's Manual","exp","always","high","µm","genus","Pasteurellaceae",712,"family"
568,NA,NA,"Hafnia","width","1","Bergey's Manual","exp","always","high","µm","genus","Hafniaceae",1903412,"family"
149698,NA,NA,"Massilia","width","1","Bergey's Manual","exp","always","high","µm","genus","Oxalobacteraceae",75682,"family"
2175,NA,NA,"Methanohalophilus","width","1","Bergey's Manual","exp","always","high","µm","genus","Methanosarcinaceae",2206,"family"
2316,NA,NA,"Methanosphaera","width","1","Bergey's Manual","exp","always","high","µm","genus","Methanobacteriaceae",2159,"family"
29287,NA,NA,"Natronococcus","width","1","Bergey's Manual","exp","always","high","µm","genus","Natrialbaceae",1644061,"family"
528,NA,NA,"Ochrobactrum","width","1","Bergey's Manual","exp","always","high","µm","genus","Brucellaceae",118882,"family"
46631,NA,NA,"Picrophilus","width","1","Bergey's Manual","exp","always","high","µm","genus","Picrophilaceae",46630,"family"
84034,NA,NA,"Propionispira","width","1","Bergey's Manual","exp","always","high","µm","genus","Selenomonadaceae",1843491,"family"
53246,NA,NA,"Pseudoalteromonas","width","1","Bergey's Manual","exp","always","high","µm","genus","Pseudoalteromonadaceae",267888,"family"
13275,NA,NA,"Suttonella","width","1","Bergey's Manual","exp","always","high","µm","genus","Cardiobacteriaceae",868,"family"
88358,NA,NA,"Thermodesulforhabdus","width","1","Bergey's Manual","exp","always","high","µm","genus","Syntrophobacteraceae",213465,"family"
60892,NA,NA,"Desulfobacca","width","1.3","Bergey's Manual","exp","always","high","µm","genus","Syntrophaceae",213468,"family"
35836,NA,NA,"Desulfacinum","width","1.5","Bergey's Manual","exp","always","high","µm","genus","Syntrophobacteraceae",213465,"family"
48001,NA,NA,"Desulfobotulus","width","1.5","Bergey's Manual","exp","always","high","µm","genus","Desulfobacteraceae",213119,"family"
1649264,NA,NA,"Desulfoconvexum","width","1.5","Bergey's Manual","exp","always","high","µm","genus","Desulfobacteraceae",213119,"family"
1109,NA,NA,"Heliothrix","width","1.5","Bergey's Manual","exp","always","high","µm","genus","Roseiflexaceae",1508635,"family"
54247,NA,NA,"Hyperthermus","width","1.5","Bergey's Manual","exp","always","high","µm","genus","Pyrodictiaceae",2307,"family"
155862,NA,NA,"Methanothermococcus","width","1.5","Bergey's Manual","exp","always","high","µm","genus","Methanococcaceae",2183,"family"
35796,NA,NA,"Nitrococcus","width","1.5","Bergey's Manual","exp","always","high","µm","genus","Ectothiorhodospiraceae",72276,"family"
69961,NA,NA,"Azomonas","width","2","Bergey's Manual","exp","always","high","µm","genus","Pseudomonadaceae",135621,"family"
2192,NA,NA,"Methanocorpusculum","width","2","Bergey's Manual","exp","always","high","µm","genus","Methanocorpusculaceae",88404,"family"
NA,NA,NA,"Pseudolyticum","width","2","Bergey's Manual","exp","always","high","µm",NA,NA,NA,NA
1301,NA,NA,"Streptococcus","width","2","Bergey's Manual","exp","always","high","µm","genus","Streptococcaceae",1300,"family"
82559,NA,NA,"Thiolamprovum","width","2","Bergey's Manual","exp","always","high","µm","genus","Chromatiaceae",1046,"family"
43988,NA,NA,"Cyanothece","width","3","Bergey's Manual","exp","always","high","µm","genus","Cyanothecaceae",1892249,"family"
47251,NA,NA,"Leptolyngbya","width","3","Bergey's Manual","exp","always","high","µm","genus","Leptolyngbyaceae",1890438,"family"
109169,NA,NA,"Desulfofaba","width","3.1","Bergey's Manual","exp","always","high","µm","genus","Desulfofabaceae",2904606,"family"
118,NA,NA,"Planctomyces","width","3.5","Bergey's Manual","exp","always","high","µm","genus","Planctomycetaceae",126,"family"
77021,NA,NA,"Cylindrospermopsis","width","4","Bergey's Manual","exp","always","high","µm","genus","Aphanizomenonaceae",1892259,"family"
1649478,NA,NA,"Pelolinea","width","10","Bergey's Manual","exp","always","high","µm","genus","Anaerolineaceae",292628,"family"
1375,NA,NA,"Aerococcus","width","1-2","Bergey's Manual","exp","sometimes","high","µm","genus","Aerococcaceae",186827,"family"
211469,NA,NA,"Kineosphaera","width","1-2","Bergey's Manual","exp","sometimes","high","µm","genus","Dermatophilaceae",85018,"family"
47670,NA,NA,"Lautropia","width","1-2","Bergey's Manual","exp","sometimes","high","µm","genus","Burkholderiaceae",119060,"family"
2314,NA,NA,"Methanoplanus","width","1-2","Bergey's Manual","exp","sometimes","high","µm","genus","Methanomicrobiaceae",2194,"family"
29395,NA,NA,"Saccharococcus","width","1-2","Bergey's Manual","exp","sometimes","high","µm","genus","Bacillaceae",186817,"family"
241429,NA,NA,"Starria","width","1-2","Bergey's Manual","exp","sometimes","high","µm","genus","Gomontiellaceae",1892255,"family"
200473,NA,NA,"Brumimicrobium","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Crocinitomicaceae",1853230,"family"
2237,NA,NA,"Haloarcula","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Haloarculaceae",1963268,"family"
2251,NA,NA,"Haloferax","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Haloferacaceae",1644056,"family"
54258,NA,NA,"Ignicoccus","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Desulfurococcaceae",2272,"family"
132605,NA,NA,"Limnothrix","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Pseudanabaenaceae",1890436,"family"
196118,NA,NA,"Methanocaldococcus","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Methanocaldococcaceae",196117,"family"
2207,NA,NA,"Methanosarcina","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Methanosarcinaceae",2206,"family"
1152,NA,NA,"Pseudanabaena","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Pseudanabaenaceae",1890436,"family"
620,NA,NA,"Shigella","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Enterobacteriaceae",543,"family"
75905,NA,NA,"Thermocrinis","width","1-3","Bergey's Manual","exp","sometimes","high","µm","genus","Aquificaceae",64898,"family"
56688,NA,NA,"Halorubrum","width","1-12","Bergey's Manual","exp","sometimes","high","µm","genus","Halorubraceae",1963271,"family"
42837,NA,NA,"Ammonifex","width","2-3","Bergey's Manual","exp","sometimes","high","µm","genus","Thermoanaerobacteraceae",186814,"family"
34069,NA,NA,"Telluria","width","2-3","Bergey's Manual","exp","sometimes","high","µm","genus","Oxalobacteraceae",75682,"family"
51228,NA,NA,"Wigglesworthia","width","2-4","Bergey's Manual","exp","sometimes","high","µm","genus","Erwiniaceae",1903409,"family"
32199,NA,NA,"Buchnera","width","2-5","Bergey's Manual","exp","sometimes","high","µm","genus","Erwiniaceae",1903409,"family"
1142,NA,NA,"Synechocystis","width","2-6","Bergey's Manual","exp","sometimes","high","µm","genus","Merismopediaceae",1890428,"family"
541,NA,NA,"Zymomonas","width","2-6","Bergey's Manual","exp","sometimes","high","µm","genus","Zymomonadaceae",2844881,"family"
41273,NA,NA,"Tissierella","width","2-8","Bergey's Manual","exp","sometimes","high","µm","genus","Tissierellaceae",1737406,"family"
78119,NA,NA,"Succinispira","width","2-10","Bergey's Manual","exp","sometimes","high","µm","genus","Acidaminococcaceae",909930,"family"
73918,NA,NA,"Thermaerobacter","width","2-10","Bergey's Manual","exp","sometimes","high","µm","genus","Clostridiales Family XVII. Incertae Sedis",539000,"family"
29521,NA,NA,"Brachyspira","width","2-11","Bergey's Manual","exp","sometimes","high","µm","genus","Brachyspiraceae",143786,"family"
54312,NA,NA,"Tychonema","width","2-16","Bergey's Manual","exp","sometimes","high","µm","genus","Microcoleaceae",1892252,"family"
1567,NA,NA,"Quinella","width","3-4","Bergey's Manual","exp","sometimes","high","µm","genus","Negativicutes",909932,"class"
466152,NA,NA,"Singulisphaera","width","3-4","Bergey's Manual","exp","sometimes","high","µm","genus","Isosphaeraceae",1763524,"family"
53425,NA,NA,"Sulfophobococcus","width","3-5","Bergey's Manual","exp","sometimes","high","µm","genus","Desulfurococcaceae",2272,"family"
869,NA,NA,"Dichelobacter","width","3-6","Bergey's Manual","exp","sometimes","high","µm","genus","Cardiobacteriaceae",868,"family"
44471,NA,NA,"Microcoleus","width","3-6","Bergey's Manual","exp","sometimes","high","µm","genus","Microcoleaceae",1892252,"family"
1125,NA,NA,"Microcystis","width","3-6","Bergey's Manual","exp","sometimes","high","µm","genus","Microcystaceae",1890449,"family"
119852,NA,NA,"Oscillospira","width","3-6","Bergey's Manual","exp","sometimes","high","µm","genus","Oscillospiraceae",216572,"family"
